id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,satuan,tahun,luas_areal_tanam_kacang_hijau,luas_areal_tanam_ubi_kayu,luas_areal_tanam_ubi_jalar,luas_areal_tanam_kedelai,luas_areal_tanam_kacang_tanah,luas_panen_kedelai,luas_panen_kacang_tanah,luas_panen_kacang_hijau,luas_panen_ubi_kayu,luas_panen_ubi_jalar,produksi_ubi_kayu,produksi_ubi_jalar,produksi_kedelai,produksi_kacang_tanah,produksi_kacang_hijau,produktivitas_kedelai,produktivitas_kacang_tanah,produktivitas_kacang_hijau,produktivitas_ubi_kayu,produktivitas_ubi_jalar
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HEKTAR,2020,34,1496,200,48,731,39,698,6,1522,185,70464,2741,67,956,7,17.36,13.7,11.67,462.97,148.48
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HEKTAR,2020,129,1782,4340,629,619,631,536,107,1609,4380,46503,106123,1135,801,114,18.0,14.94,10.66,289.02,242.32
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,HEKTAR,2020,1904,45,332,68,114,68,111,1904,46,332,1107,8213,134,165,2249,19.82,14.9,11.81,238.58,247.31
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HEKTAR,2020,1794,269,467,3367,426,2924,432,1794,258,539,6264,17521,5370,674,1861,18.36,15.61,10.38,242.79,324.82
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HEKTAR,2020,182,6088,1007,2176,2668,2176,2668,182,6080,958,195033,14484,3778,4196,220,17.36,15.73,12.09,320.78,151.21
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HEKTAR,2020,615,10,0,6,18,6,18,553,10,0,364,0,8,19,721,14.04,10.48,13.04,364.0,0.0
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,HEKTAR,2020,59,1268,86,2,826,0,832,59,926,95,28466,1364,0,1398,101,0.0,16.79,17.24,307.47,143.73
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HEKTAR,2020,58,971,135,745,183,740,190,57,856,149,26761,1960,1269,251,80,17.15,13.22,14.08,312.63,131.37
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HEKTAR,2020,186,12,0,56,112,70,112,99,33,0,648,0,151,185,143,21.51,16.58,14.52,199.38,0.0
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,HEKTAR,2020,0,6,0,0,1,0,1,0,6,0,65,0,0,1,0,0.0,10.0,0.0,114.04,0.0
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HEKTAR,2020,0,1792,366,1134,394,991,378,0,1850,366,80466,8450,1638,780,0,16.53,20.63,0.0,434.86,231.19
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HEKTAR,2020,189,53,42,170,217,169,217,189,75,43,2557,531,281,344,224,16.63,15.88,11.86,340.93,123.49
154,32,JAWA BARAT,3271,KOTA BOGOR,HEKTAR,2020,0,203,192,0,137,0,144,0,201,183,5309,3056,0,155,0,0.0,10.79,0.0,264.66,167.45
155,32,JAWA BARAT,3272,KOTA SUKABUMI,HEKTAR,2020,0,18,13,0,2,0,2,0,21,13,482,220,0,3,0,0.0,15.0,0.0,229.52,176.0
156,32,JAWA BARAT,3273,KOTA BANDUNG,HEKTAR,2020,0,13,12,0,5,0,8,0,16,13,289,123,0,13,0,0.0,15.96,0.0,180.63,95.35
157,32,JAWA BARAT,3274,KOTA CIREBON,HEKTAR,2020,5,6,0,0,2,0,2,5,6,0,120,0,0,3,5,0.0,15.79,10.64,200.0,0.0
158,32,JAWA BARAT,3275,KOTA BEKASI,HEKTAR,2020,0,34,0,0,0,0,0,0,31,0,317,0,0,0,0,0.0,0.0,0.0,102.26,0.0
159,32,JAWA BARAT,3276,KOTA DEPOK,HEKTAR,2020,0,32,10,0,8,0,8,0,34,11,853,124,0,12,0,0.0,15.0,0.0,250.88,112.73
160,32,JAWA BARAT,3277,KOTA CIMAHI,HEKTAR,2020,0,32,8,0,14,0,13,0,35,10,732,154,0,21,0,0.0,15.79,0.0,209.74,154.0
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HEKTAR,2020,13,131,26,0,279,0,279,0,94,26,1623,336,0,416,0,0.0,14.92,0.0,172.66,130.23
162,32,JAWA BARAT,3279,KOTA BANJAR,HEKTAR,2020,124,115,109,92,266,94,266,124,80,109,1784,909,149,352,163,15.85,13.25,13.15,223.0,83.39
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,HEKTAR,2021,109,3447,2621,17,814,11,780,176,3178,2396,113965,57859,14,1167,140,13.78,14.96,7.95,358.62,241.47
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HEKTAR,2021,118,9877,890,3837,2485,3686,2582,108,7123,848,315399,19429,4338,4186,120,11.77,16.21,11.19,442.79,229.22
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HEKTAR,2021,243,2406,515,6332,2302,6287,2299,249,2513,536,64708,9495,8091,3654,255,12.87,15.89,10.24,257.47,177.27
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HEKTAR,2021,0,4621,2488,283,1405,293,1411,0,3896,2499,127655,91689,455,2005,0,15.53,14.21,0.0,327.66,366.9
167,32,JAWA BARAT,3205,KABUPATEN GARUT,HEKTAR,2021,651,18560,5472,1684,10564,1659,10567,651,17523,5292,504731,120793,2230,18357,769,13.44,17.37,11.81,288.04,228.26
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HEKTAR,2021,9,1599,672,1842,889,1841,951,9,1875,689,48995,12487,2232,1377,12,12.12,14.47,13.44,261.38,181.36
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HEKTAR,2021,132,1921,136,853,551,786,559,133,1559,135,65292,2929,918,711,163,11.68,12.72,12.22,418.83,217.57
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HEKTAR,2021,127,1316,3789,675,232,676,269,103,1436,3783,53250,121978,879,412,110,13.0,15.29,10.65,370.72,322.42
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,HEKTAR,2021,1797,56,277,49,30,49,33,1798,57,277,1593,7350,104,51,1962,21.14,15.43,10.91,277.56,265.17
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HEKTAR,2021,1666,214,236,434,409,418,325,1661,205,269,6696,6741,528,392,1653,12.63,12.05,9.95,326.63,250.88
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HEKTAR,2021,137,5100,896,463,2916,463,2928,136,5156,896,135773,20018,612,4730,143,13.23,16.15,10.52,263.33,223.32
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HEKTAR,2021,110,11,0,0,0,0,0,86,11,0,369,0,0,0,104,0.0,0.0,12.16,335.09,0.0
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,HEKTAR,2021,80,801,91,5,436,5,439,80,879,83,46951,1662,6,693,75,12.73,15.78,9.29,534.14,200.52
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HEKTAR,2021,121,651,129,59,126,60,125,113,615,122,22723,2816,77,171,175,12.71,13.6,15.53,369.48,230.06
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HEKTAR,2021,257,9,0,1406,147,913,147,258,11,0,336,0,1132,262,436,12.4,17.79,16.89,320.29,0.0
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,HEKTAR,2021,5,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0.0,0.0,4.0,0.0,0.0
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HEKTAR,2021,2,1831,355,719,184,715,204,2,1664,365,56250,9222,950,410,5,13.29,20.13,26.32,338.06,252.46
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HEKTAR,2021,172,61,26,213,223,213,223,172,48,20,1956,790,274,314,199,12.9,14.08,11.55,407.52,395.13
181,32,JAWA BARAT,3271,KOTA BOGOR,HEKTAR,2021,0,172,197,0,145,0,133,0,155,186,4601,3473,0,150,0,0.0,11.32,0.0,297.06,187.11
182,32,JAWA BARAT,3272,KOTA SUKABUMI,HEKTAR,2021,0,4,2,0,0,0,0,0,4,2,121,44,0,0,0,0.0,0.0,0.0,303.01,218.54
183,32,JAWA BARAT,3273,KOTA BANDUNG,HEKTAR,2021,0,11,3,0,6,0,4,0,7,3,223,75,0,5,0,0.0,12.29,0.0,322.76,249.59
184,32,JAWA BARAT,3274,KOTA CIREBON,HEKTAR,2021,0,1,0,0,1,0,2,1,1,0,34,0,0,3,1,0.0,16.25,11.11,335.09,0.0
185,32,JAWA BARAT,3275,KOTA BEKASI,HEKTAR,2021,0,32,0,0,0,0,0,0,28,0,896,0,0,0,0,0.0,0.0,0.0,319.89,0.0
186,32,JAWA BARAT,3276,KOTA DEPOK,HEKTAR,2021,0,16,6,0,9,0,7,0,20,4,513,103,0,11,0,0.0,15.32,0.0,256.52,257.0
187,32,JAWA BARAT,3277,KOTA CIMAHI,HEKTAR,2021,0,60,12,0,13,0,14,0,37,11,1076,149,0,19,0,0.0,13.22,0.0,290.77,135.08
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HEKTAR,2021,0,63,16,101,96,18,96,0,92,17,2843,393,21,146,0,11.65,15.2,0.0,309.03,231.16
189,32,JAWA BARAT,3279,KOTA BANJAR,HEKTAR,2021,41,98,74,200,122,198,124,56,112,74,3574,425,232,155,63,11.7,12.52,11.16,319.06,57.5
